sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
51079045120.0,Amlodipine,-1,,1.0,1332419,amlodipine 5 MG Oral Tablet,RxNorm,Drug,S,0,4,Clinical Drug,197361,19700101,20991231,
59762153005.0,Amlodipine,-1,,1.0,1332419,amlodipine 5 MG Oral Tablet,RxNorm,Drug,S,0,4,Clinical Drug,197361,19700101,20991231,
69153041.0,Amlodipine,-1,,1.0,1332421,amlodipine 5 MG Oral Tablet [Norvasc],RxNorm,Drug,S,0,8,Branded Drug,212549,19700101,20991231,
62584078833.0,Metoprolol,-1,,1.0,19019273,naproxen 500 MG Oral Tablet,RxNorm,Drug,S,2,4,Clinical Drug,198014,19700101,20991231,
603385521.0,Hydrochlorothiazide,-1,,1.0,19022486,hydrochlorothiazide 12.5 MG Oral Capsule,RxNorm,Drug,S,0,4,Clinical Drug,199903,19700101,20991231,
74697805.0,Hydrochlorothiazide,-1,,1.0,19036921,hydrochlorothiazide 25 MG Oral Tablet [Oretic],RxNorm,Drug,S,0,8,Branded Drug,207939,19700101,20991231,
186109239.0,Metoprolol XL,-1,,1.0,40166825,24 HR metoprolol succinate 100 MG Extended Release Oral Tablet [Toprol],RxNorm,Drug,S,0,8,Quant Branded Drug,866414,20091101,20991231,
58177029311.0,Metoprolol Succinate XL,-1,,1.0,40166828,24 HR metoprolol succinate 25 MG Extended Release Oral Tablet,RxNorm,Drug,S,0,4,Quant Clinical Drug,866427,20091101,20991231,
186108839.0,Metoprolol XL,-1,,1.0,40166829,24 HR metoprolol succinate 25 MG Extended Release Oral Tablet [Toprol],RxNorm,Drug,S,0,8,Quant Branded Drug,866429,20091101,20991231,
186109039.0,Metoprolol XL,-1,,1.0,40166831,24 HR metoprolol succinate 50 MG Extended Release Oral Tablet [Toprol],RxNorm,Drug,S,0,8,Quant Branded Drug,866438,20091101,20991231,
186109039.0,Metoprolol Succinate XL,-1,,1.0,40166831,24 HR metoprolol succinate 50 MG Extended Release Oral Tablet [Toprol],RxNorm,Drug,S,0,8,Quant Branded Drug,866438,20091101,20991231,
143987310.0,Metoprolol Tartrate,-1,,1.0,40167196,5 ML metoprolol tartrate 1 MG/ML Injection,RxNorm,Drug,S,0,3,Quant Clinical Drug,866508,20091101,20991231,
55390007310.0,Metoprolol,-1,,1.0,40167196,5 ML metoprolol tartrate 1 MG/ML Injection,RxNorm,Drug,S,0,3,Quant Clinical Drug,866508,20091101,20991231,
55390007310.0,Metoprolol Tartrate,-1,,1.0,40167196,5 ML metoprolol tartrate 1 MG/ML Injection,RxNorm,Drug,S,0,3,Quant Clinical Drug,866508,20091101,20991231,
74177825.0,Metoprolol,-1,,1.0,40167196,5 ML metoprolol tartrate 1 MG/ML Injection,RxNorm,Drug,S,0,3,Quant Clinical Drug,866508,20091101,20991231,
51079025520.0,Metoprolol Tartrate,-1,,1.0,40167213,metoprolol tartrate 25 MG Oral Tablet,RxNorm,Drug,S,0,4,Clinical Drug,866924,20091101,20991231,
51079025520.0,Metoprolol,-1,,1.0,40167213,metoprolol tartrate 25 MG Oral Tablet,RxNorm,Drug,S,0,4,Clinical Drug,866924,20091101,20991231,
51079080120.0,Metoprolol,-1,,1.0,40167218,metoprolol tartrate 50 MG Oral Tablet,RxNorm,Drug,S,0,4,Clinical Drug,866514,20091101,20991231,
51079080120.0,Metoprolol Tartrate,-1,,1.0,40167218,metoprolol tartrate 50 MG Oral Tablet,RxNorm,Drug,S,0,4,Clinical Drug,866514,20091101,20991231,
904777261.0,Metoprolol Tartrate,-1,,1.0,40167218,metoprolol tartrate 50 MG Oral Tablet,RxNorm,Drug,S,0,4,Clinical Drug,866514,20091101,20991231,
6095128.0,Losartan Potassium,-1,,1.0,40185281,losartan potassium 25 MG Oral Tablet [Cozaar],RxNorm,Drug,S,0,8,Branded Drug,979487,20100606,20991231,
